abandon	ترک کردن
pollute	آلوده
reveal	آشکار کردن
prohibit	ممنوع کردن
urgent	اضطراری
adequate	کافی
decrease	کاهش دادن/یافتن
audible	رسا
journalist	روزنامه نگار
famine	قحطی
revive	به هوش آوردن
commence	شروع کردن /شدن
observant	تیزبین
identify	شناسایی کردن
migrate	مهاجرت کردن
vessel	کشتی
persist	پافشاری کردن
hazy	مه آلود
gleam	پرتو
editor	سردبیر
unruly	غیر قابل کنترل
rival	رقیب
violent	خشن
brutal	وحشی
opponent	رقیب
brawl	دعوا و مرافعه کردن
duplicate	کپی کردن
vicious	شرورانه
whirl	چرخیدن
underdog	طرف بازنده
thrust	هل دادن
bewildered	سر در گم
expand	گسترش دادن/یافتن
alter	عوض کردن/شدن
mature	بالغ
sacred	مقدس
revise	تجدید نظر کردن
pledge	تعهد کردن
casual	غیر رسمی
pursue	تعقیب کردن
unanimous	هم رای
fortunate	خوشبخت
pioneer	پیشگام
innovative	مبتکرانه
slender	کشیده
surpass	پیشی گرفتن از
vast	پهناور
doubt	شک داشتن
capacity	گنجایش
penetrate	رخنه کردن در
pierce	شکافتن
accurate	درست
microscope	میکروسکوپ
grateful	متشکر
cautious	محتاط
confident	مطمئن
appeal	درخواست کردن
addict	معتاد
wary	محتاط
aware	با خبر
misfortune	بد شانسی
avoid	اجتناب کردن از
wretched	فلاکت بار
keg	بشکه(کوچک)
nourish	غذا دادن به
harsh	زبر
quantity	مقدار
opt	انتخاب کردن
tragedy	فاجعه
pedestrian	عابر پیاده
glance	نگاهی انداختن
budget	بودجه
nimble	چابک
manipulate	درست به کار بردن
reckless	بی پروا
horrid	وحشتناک
rave	با حرارت حرف زدن
economical	صرفه جو
lubricate	روغن کاری کردن
ingenious	ابتکاری
harvest	برداشت محصول
abundant	فراوان
uneasy	ناراحت
calculate	محاسبه کردن
absorb	جذب کردن
estimate	تخمین زدن
morsel	لقمه
quota	سهم
threat	تهدید
ban	تحریم کردن
panic	وحشت کردن
appropriate	مناسب
emerge	پدیدار شدن
jagged	دندانه دندانه
linger	باقی ماندن
ambush	کمین
crafty	زیرک
defiant	سرکش
vigor	قدرت
perish	به هلاکت رسیدن
fragile	شکستنی
captive	اسیر
prosper	موفق بودن
devour	با ولع خوردن
plea	تقاضا
weary	خیلی خسته
collide	تصادف کردن
confirm	تایید کردن
verify	اثبات کردن
anticipate	انتظار داشتن
dilemma	دوراهی
detour	مسیر انحرافی
merit	مزیت
transmit	فرستادن
relieve	کم کردن
baffle	گیج کردن
warden	رئیس زندان
acknowledge	اذعان کردن
justice	عدالت
delinquent	بزهکار
reject	رد کردن
deprive	محروم کردن
spouse	همسر
vocation	حرفه
unstable	بی ثبات
homicide	قتل
penalize	مجازات کردن
beneficiary	ذینفع
reptile	خزنده
rarely	به ندرت
forbid	ممنوع کردن
logical	منطقی
exhibit	نمایش دادن
proceed	پیش رفتن
precaution	احتیاط
extract	بیرون کشیدن
prior	قبلی
embrace	در آغوش گرفتن
valiant	شجاع
partial	نسبی
fierce	بی رحم
detest	متنفر بودن از
sneer	پوزخند زدن
scowl	اخم کردن
encourage	تشویق کردن
consider	سبک و سنگین کردن
vermin	جانوران موذی
wail	شیون کردن
symbol	نماد
authority	قدرت
neutral	بی طرف
trifle	خرده ریز
architect	معمار
matrimony	ازدواج
baggage	بار
squander	تلف کردن
abroad	خارج
fugitive	فراری
calamity	مصیبت
pauper	فقیر
envy	حسادت ورزیدن به
collapse	فروریختن
prosecute	تحت تعقیب قرار دادن
bigamy	دو همسری
possible	ممکن
compel	مجبور کردن
awkward	آزارنده
venture	کار مخاطره آمیز
awesome	مهیب
guide	راهنما
quench	عطش رفع کردن
betray	خیانت کردن به
utter	بیان کردن
pacify	آرام کردن
respond	عکس العمل نشان دادن
beckon	اشاره کردن
despite	به رغم
disrupt	مختل کردن
rash	کهیر
rapid	تند
exhaust	از پا انداختن
severity	سختی
feeble	ضعیف
unite	متحد شدن/کردن
cease	متوقف شدن/کردن
thrifty	صرفه جو
miserly	ناچیز
monarch	حاکم
outlaw	یاغی
promote	ارتقاء دادن
undernourished	دچار سوء تغذیه
illustrate	توضیح دادن
disclose	فاش کردن
excessive	بیش از حد
disaster	فاجعه
censor	سانسور کردن
culprit	گناهکار
juvenile	کودک
bait	طعمه
insist	اصرار داشتن
toil	زحمت کشیدن
blunder	گاف
daze	گیج کردن
mourn	سوگواری کردن
subside	فروکش کردن
maim	معلول کردن
comprehend	فهمیدن
commend	تعریف کردن از
final	آخرین
exempt	معاف کردن
vain	مغرور
repetition	تکرار
depict	به تصویر کشیدن
mortal	فانی
novel	رمان
occupant	ساکن
appoint	منصوب کردن
quarter	اقامتگاه
site	محل
quote	نقل قول کردن
verse	شعر
morality	اصول اخلاقی
roam	پرسه زدن
attract	جذب کردن
commuter	مسافر هر روزه(بین خانه و محل کار)
confine	محبوس کردن
idle	بیکاری
idol	بت
jest	جوک
patriotic	وطن پرست
dispute	مشاجره کردن
valor	شجاعت
lunatic	دیوانه
vein	سیاهرگ
uneventful	بی حادثه
fertile	حاصلخیز
refer	اشاره کردن
distress	رنج دادن
diminish	کاهش دادن/یافتن
maximum	حداکثر
flee	گریختن از
vulnerable	آسیب پذیر
signify	دلالت دشتن بر
mythology	اسطوره شناسی
colleague	همکار
torment	رنج دادن
provide	فراهم کردن
loyalty	وفاداری
volunteer	داوطلب شدن
prejudice	تبعیض
shrill	صدای زیر
jolly	شاد
witty	بذله گو
hinder	مانع شدن
lecture	سخنرانی کردن
abuse	سوء استفاده کردن
mumble	زیر لبی حرف زدن
mute	ساکت
wad	دسته
retain	حفظ کردن
candidate	کاندیدا
precede	مقدم بودن
adolescent	نوجوان
coeducational	مختلط
radical	ریشه ای
spontaneous	خود به خود
skim	چربی ....را گرفتن
vaccinate	واکسن زدن به
untidy	نا منظم
utensil	ابزار
sensitive	حساس
temperate	معتدل
vague	مبهم
elevate	ترفیع دادن
lottery	بخت آزمایی
finance	دارایی
obtain	به دست آوردن
cinema	سینما
event	حادثه
discard	رها کردن
soar	به شدت افزایش یافتن
subsequent	بعدی
relate	ربط دادن
stationary	بی حرکت
prompt	وادار کردن
hasty	عجولانه
scorch	سوزاندن
tempest	توفان
soothe	آرام کردن
sympathetic	همدردی کردن با
redeem	وفا کردن به
resume	دوباره شروع کردن/شدن
harmony	هارمونی
refrain	خودداری کردن
illegal	غیر قانونی
narcotic	ماده مخدر
heir	وارث
majestic	با شکوه
dwindle	کاهش یافتن
surplus	مازاد
traitor	خائن
deliberate	عمدی
vandal	خرابکار
drought	خشکسالی
abide	تحمل کردن
unify	یکدست کردن
summit	اجلاس سران
heed	توجه کردن به
biography	زندگی نامه
drench	خیس کردن
swarm	دسته ای حرکت دادن
wobble	تکان خوردن
tumult	آشوب
kneel	زانو زدن
dejected	افسرده
obedient	مطیع
recede	دور شدن
tyrant	حاکم ستمگر
charity	موسسه ی خیریه
verdict	رای
unearth	کشف کردن
depart	رفتن
coincide	همزمان بودن
cancel	لغو کردن
debtor	بدهکار
legible	خوانا
placard	پلاکارد
contagious	واگیر دار
clergy	روحانیون
customary	مرسوم
transparent	شفاف
scald	سوزاندن
epidemic	شیوع
obesity	چاقی
magnify	بزرگ کردن
chiropractor	پزشک مفصلی
obstacle	مانع
ventilate	تهویه کردن
jeopardize	به خطر انداختن
negative	منفی
pension	حقوق بازنشستگی
vital	حیاتی
municipal	شهری
oral	شفاهی
complacent	خودخواهانه
wasp	زنبور بی عسل
rehabilitate	اعاده حیثیت کردن
parole	آزادی مشروط دادن به
vertical	عمودی
multitude	تعداد زیادی
nominate	نامزد کردن
potential	احتمالی
morgue	سرد خانه
preoccupied	دل مشغول
upholstery	رویه دوزی
indifference	بی اعتنایی
maintain	حفظ کردن
snub	بی اعتنایی کردن به
endure	تحمل کردن
wrath	خشم
expose	به خطر انداختن
legend	افسانه
ponder	تامل کردن درباره
resign	استعفا دادن از
drastic	موثر
wharf	اسکله
amend	اصلاح کردن
ballot	برگه ی رآی گیری
