elementary	ابتدایی  
issue	"مسئله ، موضوع  "
observe	مشاهده کردن  
involvement	مشتمل شدن
artificial	مصنوعی  
proud	"مغرور ، سر افراز  "
Joint	مفصل  
compare	مقایسه کردن  
destination	مقصد  
frequently	مكرر
pause	"مکس ، وقفه  "
mild	ملايم
region	"منطقه ، ناحیه  "
provide	"مهیا کردن ، فراهم کردن  "
succeed	موفق شدن  
occasion	موقعيت
efficiently	مؤثر  
extinction	نابودي
unreadable	ناخوانا  
observer	ناظر  
irrelevant	"نامربوط ، بی ربط  "
genius	نبوغ
result	نتیجه  
conclusion	"نتیجه ، نتیجه گیری  "
proportion	نسبت
attribute	نسبت دادن  
clue	نشانه
dash	نشانه خط تيره ( -)  
semicolon	نقطه و ویرگول بدین شکل ;
transfer	نقل و انتقال  
anxious	"نگران، دلواپس  "
concerned	"نگران، مربوط  "
sample	نمونه  
extreme	نهايت
compose	"نوشتن ، تشکیل دادن  "
sort	نوع  
core	هسته
comedian	هنرپیشه کمدی  
rely	وابسته بودن
unit	واحد  
exact	واقعه  
reality	واقعیت  
device	"وسیله ، ابزار  "
instrument	"وسیله ، ابزار  "
vehicle	"وسیله ، وسیله نقلیه  "
connect	وصل کردن  
join	"وصل کردن ، ملحق شدن به  "
devote	"وقف کردن ، اختصاص دادن  "
