October	ماه اکتبر	
officer	افسر	
once	یک بار	
park	پارک	
polite	با ادب	
population	جمعیت	
pot	"قوری، کتری"	
put (sth) aside	(چیزی را) کنار گذاشتن	
round	دور 	
row	ردیف	
sadly	با ناراحتی	
say goodbye	خداحافظی	
seaside	کنار دریا	
September	سپتامبر	
shopping	خرید	
sit	نشستن	
spaghetti	ماکارانی	
sugar	شکر	
taste	"طعم، مزه"	
tourist	توریست	
toward	"بسوی، بطرف"	
toy gun	تفنگ اسباب بازی	
without	بدون	
wood	چوب	درس  پنجم
a short while	مدت کوتاه	
advice	نصیحت	
all of a sudden	ناگهان	
bother	دردسر دادن	
breath	نفس	
breathe	نفس کشیدن	
business	کسب و کار	
coin	سکه	
cover	پوشش	
cure	درمان	
disease	"مرض، ناخوشی"	
extra	اضافی	
for no good reason	بدون هیچ دلیل خوبی	
giggle	خندیدن	
go on a picnic	پیک نیک رفتن	
herself	خودش (مونث)	
hiccup	سکسکه	
himself	خوش(مذکر)	
hold one’s breath	نفس کسی را نگه داشتن	
humid	مرطوب	
illness	بیماری	
itself	خود	
jerk	حرکت تند و سریع	
last	آخر	
lend	قرض دادن	
lucky	خوش شانس	
medicine	دارو	
mind	"ذهن، عقل"	
most of the time	اکثر اوقات	
mouth	دهان	
muscle	عضله	
myself	خودم	
obey	پیروی کردن	
order	سقارش	
ourselves	خودمان	
paper bag	کیسه کاغذی	
pay attention	توجه کردن	
picnic	پیک نیک	
rainy	بارونی	
record	"رکورد، ثبت"	
scare	ترساندن	
secretary	"دبیر، منشی"	
stop	متوقف کردن	
successful	موفق شدن	
suddenly	ناگهان	
take a breath	یه نفسی بگیر	
themselves	برای آنها	
try	تلاش	
unwelcome	ناخواسته	
wet	خیس	
while	در حالی که	
yourself	خودت	
yourselves	خودتان	درس 6
actually	در واقع	
agree about / on	موافقت	
appointment	قرار ملاقات	
backache	کمر درد	
behaviour	رفتار	
birthday	تولد	
comment about / on	اظهار نظر در مورد	
common	معمولی	
composition	ترکیب بندی	
conversation	گفتگو	
date	تاریخ	
depend on	بستگی داشتن به	
describe	توصیف کردن	
different	متفاوت	
disagree about	مخالف بودن با	
education	تحصیلات	
expect	انتظار داشتن	
expression	اصطلاح	
finger	انگشت	
fixed	درست شد	
friendly	دوستانه	
greet	تبریک گفتن	
greeting	تبریک	
headache	سردرد	
health	سلامتی	
How is every thing with you?	اوضاع و احوال چطوره؟	
idea	ایده	
importance	اهمیت	
living	زندگی کردن	
necessary	لازم	
opinion	اندیشه	
peace	آرامش	
politics	سیاست	
professor	پرفسور	
purpose	هدف	
quiet	ساکت	
race	مسابقه	
religion	دین	
require	نیاز	
safe	امن	
similar	مشابه	
small talk	حرف مفت	
social	اجتماعی	
start	شروع	
sufficient	کافی	
suitable	مناسب	
supermarket	سوپرمارکت	
take place	اتفاق افتادن	
topic	عنوان	
transport system	سیستم حمل و نقل	
usual	عادی	
vocabulary	لغت	
walk around	را رفتن در اطراف	
write	نوشتن	درس 7
