Amnesty	"عفو عمومی ، گذشت"	
Expatriate	مهاجر	
Exonerate	تبرئه کردن	
Fiat	حکم	
Mendacious	دروغگو	
Parsimonious	صرفه جو	
Pecuniary	مالی	
Dismantle	از بین بردن	
Sumptuous	مجلل	
Underwrite	امضا ءکردن	
Restrictive	محدود	
Balk	طفره رفتن از	
Blunt	بی پرده	
Nostalgia	احساس غربت	
Rife	"مملو، شایع"	
Reviled	ناسزا	
Derogatory	مضر	
Indict	متهم کردن	
Nebulous	"تیره، تار"	
Pesky	مزاحم	
Redolent	"بودار، معطر"	
Repose	دراز کشیدن	
Omnivorous	همه چیز خور	
Disparate	مختلف	
Abstemious	پرهیزکار	
Extant	موجود	
Vicissitudes	فراز نشیب	
Edifice	عمارت	
Sultry	شرجی	
Trenchant	نافذ	
Puissant	توانا	
Unabated	کاسته نشده	
Maudlin	ضعیف و خیلی احساساتی	
Levity	سبک سری	
Lugubrious	غم انگیز	
Scion	"فرزند، نهال"	
Indoctrinate	آموختن	
Opulence	توانگیری	
Obsequious	فرمانبردار	
Fulsome	اغراق آمیز	
Lush	باشکوه	
Destitution	فقر	
Ponder	"سنجیدن، اندیشه کردن"	
Supplication	التماس	
Decadence	"فساد، انحطاط"	
Penance	"توبه، طلب بخشایش"	
Ascetic	"مرتاض، ریاضت کشیدن"	
Desultory	درهم و برهم	
Disciple	"پیرو، طرفدار"	
Metamorphosis	دگردیسی	
bona fide	واجد شرایط	
Salvation	"نجات، رستگاری"	
Materialism	ماده گرایی	
Nurture	"تربیت، پرورش"	
Nirvana	"نیروانا، پیوستن به کل هستی خشنودی مطلق"	
Juxtapose	پهلوی هم گذاشتن	
Plight	گرفتاری	
Covert	نهان 	
Cope	مقابله	
Incompatibility	ناسازگاری	
Incapacitated	ناتوان	
Fabricate	ساختن	
Connubial	وابسته به زناشویی	
Demur	درنگ کردن	
Appellation	نامگذاری	
Escalation	تشدید	
Indifference	بی علاقگی	
Potential	پتانسیل	
Cumulative	انباشته	
Recondite	پیچیده	
Palliate	کاهش دادن	
Delude	فریب دادن	
Prelude	مقدمه	
Chimerical	خیالی	
Acknowledge	"قدردانی کردن، اذعان"	
Heterogeneous	ناهمگون	
Gamut	وسعت	
Perspicacious	تیز هوش	
Analogous	مشابه	
Maladjusted	ناسازگار 	
Phenomenon	پدیده	
Mortality	"مرگ و میر، بشریت"	
Decade	دهه	
Susceptible	حساس	
Neurotic	عصبی	
Pedagogue	آموزگار	
Enunciate	اعلام کردن	
Inordinate	مفرط	
Irascible	سودایی	
Introspective	درونگرا	
Perpetuate	همیشگی کردن	
Mandate	حکم	
Compensatory	جبرانی	
Neutralize	خنثی کردن	
Catastrophic	مصیبت بار	
Anthropologist	انسان شناس	
Bizarre	غریب و عجیب	
Inanimate	بی جان	
Fetish	طلسم	
Artifact	محصول مصنوعی	
Taboo	"تابو، حرام"	
Imprudent	بی تدبیر	
Prohibition	ممنوعیت	
Imperative	امری ضروری	
Taint	لکه دار کردن	
Universal	جهانی	
Contemptuous	تحقیر آمیز	
Absurd	پوچ	
Bigot	تعصب	
Abhor	ترسیدن	
Vulnerable	آسیب پذیر	
Entreaty	التماس	
Tradition	سنت	
Originate	سرچشمه	
Inviolable	غصب نکردنی	
Awesome	عالی	
Eruption	فوران	
Puny	ضعیف	
Debris	باقی مانده	
Dispersed	پراکنده	
Obliterate	پاک کردن	
Deplorable	رقت انگیز	
Initiate	آغاز	
Conflagration	حریق بزرگ	
Rue	غم و اندوه	
Congenial	هم مشرب	
Hoard	ذخیره کردن	
Sage	"حکیم، عاقل"	
Aegis	حمایت	
Detriment	ضرر	
Longevity	طول عمر	
Imbibe	جذب کردن	
Virile	مردانه	
Senile	سالخورده	
Doddering	کودن	
Lethargic	بی حال	
Prevalent	شایع	
Remiss	بی مبالات	
Hostile	خصومت آمیز	
Rebuke	سرزنش	
Aversion	بیزاری	
Evince	"نشان دادن، برانگیختن"	
Vogue	"رواج، گشاده رو"	
Superficial	سطحی	
Jettison	بیرون افکندن	
Inevitable	اجتناب ناپذیر	
Lucrative	سودآور	
Tussle	کشمکش	
Intrinsic	ذاتی	
Acute	"تند، تیز"	
Gist	نکته مهم	
Transient	گذرا	
Terse	مختصر و مفید	
Cogent	متقاعد کننده	
Pinnacle	اوج	
Array	آرایه	
Obscure	مبهم	
Ardent	تند وتیز	
Culminate	به اوج رسیدن	
Constrict	تنگ کردن	
Prodigy	اعجوبه	
Bereft	بی بهره	
Falter	لکنت زبان پیدا کردن	
Exultation	وجد و سرور	
Vitriolic	تند و سوزنده	
Invective	پرخاش	
Besmirch	لکه دار کردن	
Voluminous	"بزرگ، حجیم"	
Retrospect	نگاه به گذشته	
Egotist	خودپرست	
Humility	فروتنی	
Pungent	تند	
Inveterate	"معتاد، ریشه کرده"	
Adamant	یک دنده	
Vulnerable	آسیب پذیر	
Bedlam	تیمارستان	
Cacophony	صدای ناهنجار و خشن	
Exploit	بهره برداری	
Propinquity	"نزدیکی ، شباهت"	
Disgruntled	ناراضی	
Infallible	معصون از خطا	
Panacea	نوش دارو	
Eradicate	ریشه کن کردن	
Impede	مانع شدن	
Sedate	"جدی، ملایم"	
Equanimity	متانت	
Compatible	سازگار	
Serenity	آرامش	
Revere	حرمت	
Irrational	غیر منطقی	
Avarice	طمع	
Insatiable	سیر نشدنی	
Nadir	"فرود ، پستی"	
Moribund	رو به مرگ	
Lithe	لاغر اندام	
Obese	چاق	
Adherent	طرفدار	
Bliss	سعادت	
Pathetic	تاسف بار	
Exhort	نصیحت کردن	
Apathy	بی علاقگی	
Fracas	زد و خورد	
Inebriated	مست	
Adversary	دشمن	
Indolent	تنبل	
Gusto	ذوق	
garrulous	پرحرف	
Banal	پیش پا افتاده	
Platitude	بی مزگی	
Pique	زخم زبان زدن	
Dilettante	ناشی	
Atypical	غیر معمولی	
Nondescript	وصف ناپذیر	
Wane	کم وکاستی	
Extinct	منقرض	
Idyllic	روستایی	
Galvanize	اب فلزی دادن	
Encumbrance	مانع	
Gaudy	پر زرق و برق	
Condescend	تواضع کردن	
Candor	"خلوص، رک گویی"	
Mortify	رنجاندن	
Jocose	شوخ	
Malign	بدخیم	
Omnipotent	قادر مطلق	
Zenith	اوج	
Fledgling	نوپا	
Peremptory	بی چون و چرا	
Precedent	"سابقه، نمونه"	
Wheedle	خر کردن	
Rustic	روستایی	
Jubilant	فرخنده	
Decorum	ادب	
Charlatan	آدم حقه باز	
Heresy	کفر	
Prudent	محتاط	
Ostensible	قابل نمایش	
Fervid	نمایان	
Spurious	"جعلی، بدلی"	
Propagate	رواج دادن	
Innocuous	بی ضرر	
Surfeit	زیاده روی	
Milieu	وسط	
Strident	گوش خراش	
Concomitant	همراه	
Lassitude	"بی میلی، خستگی"	
Deleterious	زیان آور	
Efficacy	"اثر، تاثیر"	
Dissent	مخالف	
Ferment	جوش و خروش	
Attenuated	ضعیف	
Arbiter	داور	
Incumbent	لازم	
Profound	عمیق	
Alleviate	کم کردن	
Prodigious	شگرف	
Expedite	شتابان	
Celerity	تندی	
Usurp	غضب کردن	
Paltry	چیز آشغال و ناچیز	
Condone	چشم پوشی کردن از	
Trivial	بدیهی	
Bizarre	غریب و عجیب	
Menial	نوکر	
Venerable	"محترم، ارجمند"	
Extraneous	غیر اصلی	
Ambiguous	مبهم	
Succinct	"کوتاه، چکیده"	
Archaic	قدیمی	
Emulate	تقلید	
Facetious	شوخ	
Rabid	متعصب	
Salubrious	"سالم، گوارا"	
Complacent	از خود راضی	
Somber	غم انگیز	
Debilitate	ناتوان کردن	
Impetuous	تند و شدید	
Occult	"مرموز، اسرارآمیز"	
Discreet	با احتیاط	
Foment	برانگیختن	
Glean	خوشه چینی کردن	
Quarry	معدن سنگ	
Slovenly	ژولیده	
Abjure	برای همیه ترک گفتن	
Reproach	سرزنش	
Penitent	توبه کار	
Evanescent	"محو شونده، ناپایدار"	
Tantamount	معادل	
Propensity	گرایش	
Wary	با احتیاط	
Allay	از شدت چیزی کاستن	
Deter	بازداشتن	
Connoisseur	خبره	
Site	سایت	
Vigil	شب زنده داری	
Cumbersome	سنگین	
Interrogate	بازجویی کردن	
Divulge	فاش کردن	
Fluctuate	نوسان	
Unmitigated	کاسته نشده	
Commodious	جادار	
Antiquated	"کهنه، قدیمی"	
Disheveled	ژولیده	
Tenacious	سرسخت	
Facade	نما	
Asinine	نادان	
Grimace	ادا و اصول	
Calumny	رسوایی	
Pittance	کمک هرینه مختصر	
Au courant	با خبر	
Fastidious	مشکل پسند	
Onisome	گنبد	
Unkempt	ژولیده	
Parable	مثال	
Whimsical	غریب	
Lampoon	"مورد استهزا قرار دادن، کنایه"	
Countenance	"پشتیبانی کردن، حمایت کردن"	
Sanctimonious	مقدس نما	
Equanimity	"متانت، خوداری"	
Effrontery	بی شرمی	
Nonentity	چیز غیر موجود	
Flabbergasted	مبهوت	
Debacle	افتضاح	
Vivacious	بانشاط	
Gaunt	لاغر	
Mien	قیافه	
Hirsute	"پشمالو، پرمو"	
Refute	"رد کردن، تکذیب کردن"	
Pensive	افسرده	
Whet	تیز کردن	
Stupor	بی حسی	
Wince	لرزیدن	
Cliché	کلیشه	
Genre	ژانر	
Candid	بی پرده	
Unsavory	بی مزه	
Degrade	کاهش	
Venial	قابل بخشیدنی	
Epitome	خلاصه	
Dexterity	مهارت	
Grotesque	چیز عجیب و غریب	
Compassion	"دلسوزی، غمخواری"	
Repugnant	"زننده، طاقت فرسا"	
Acme	"اوج ، قلعه"	
Copious	فراوان	
Vehemently	شدید	
Depict	"نمایش دادن، رسم کردن"	
Naive	ساده لوح	
Perfidious	بدقول	
Covet	طمع به چیزی داشتن	
Ingratiate	مورد لطف و توجه قرار گرفتن	
Penury	تنگدستی	
Ignominious	رسوا	
Confront	روبرو شدن با	
Antipathy	انزجار	
Servile	چاپلوس	
Volition	"اراده، خواست"	
Sojourn	موقتا اقامت کردن	
Austere	"تند و تلخ، ریاضت کشیدن"	
Felicitous	"لایق ، مناسب"	
Halcyon	ایام خوب گذشته	
Tenable	قابل تصرف	
Superfluous	زائد	
Motivate	ایجاد انگیزه	
Rationalize	منطقی کردن	
Therapy	"معالجه، درمان"	
Nascent	در حال تولد	
Iconoclast	بت شکن	
Erudite	دانشمند	
Phobia	نفرت	
Germane	وابسته	
Vertigo	سرگیجه	
Conducive	مساعد	
Glib	سلیس و روان	
Homogenous	همگن	
Malleable	نرم و قابل انعطاف	
Legerdemain	حقه بازی	
Trend	"گرایش، تمایل"	
Stagnant	"راکد، بدون حرکت"	
Fatal	کشنده	
Passé	گذشته	
Procrastinate	به تعویق انداختن	
Facet	شکل	
Foist	جا زدن	
Stigmatize	لکه دار کردن	
Capitulate	تسلیم شدن	
Audacity	جسارت	
Tantalize	کسی را دست انداختن	
Retort	تلافی	
Reticent	ساکت	
Tacit	ضمنی	
Chicanery	ضد و نقیض گویی	
Docile	مطیع	
Saga	حماسه	
Belated	دیرتر از موقع	
Decrepit	ضعیف و ناتوان	
Imperturbable	تزلزل ناپذیر	
Vacillate	تلوتلو خوردن	
Staunch	وفادار	
Opprobrium	رسوایی	
Machiavellian	"وابسته به عقاید سیاسی ""ماکیاولی"""	
Unconscionable	بی وجدان	
Pandemonium	دوزخ	
Flay	سخت انتقاد کردن	
Demeanor	رفتار	
Delineation	طرح	
Vindicate	دفاع کردن از	
Heinous	فجیع	
Turpitude	فساد	
Infraction	تخلف	
Callous	بی عاطفه	
Redress	جبران خسارت	
Vituperation	بدگویی	
Rhetoric	فصاحت و بلاغت	
Clique	کلیک	
Extol	ستودن	
Mentor	مربی	
Facile	ساده	
Cant	"با ناله سخن گفتن، کج شدن"	
Umbrage	سایه شاخ و برگ	
Magnanimous	سخاوتمند	
Vilify	بدنام کردن	
Elucidate	روشن کردن	
Vapid	بی روح	
Unwieldy	"گنده، بدهیکل"	
Proximity	نزدیکی	
Lassitude	سستی	
Vitiate	خراب کردن	
Augment	تقویت کردن	
Fatuous	بی شعور	
contort	"از شکل انداختن، ناهموار کردن"	
Imperceptible	غیر قابل مشاهده	
Repertoire	مجموعه	
Curry	ادویه کاری	
Pall	بیزار شدن	
Succulent	شاداب	
Satiety	"سیری ، بی نیازی"	
Intrinsic	ذاتی	
Potpourri	عطر گل	
Sanction	تصویب	
Denote	معنی کردن	
Allude	اشاره کردن	
Insidious	موذی	
Propriety	موذی	
Advent	ظهور	
Impious	کافر	
Proffer	تقدیم	
Spate	سیل	
Shibboleth	آزمون	
Bogus	ساختگی	
Substantiate	اثبات	
Nutritive	غذایی	
Raucous	خشن	
Quandary	مسئله	
Callous	بی عاطفه	
Expedient	مصلحت	
Negligible	ناچیز	
Blase	حباب	
Ennui	دلتنگی	
Comely	خوش منظر	
frenetic	"دیوانه ، شوریده"	
Artifice	استادی	
Diversity	تنوع	
Qualm	حالت تهوع	
Expurgate	حذف کردن	
Begrudge	غبطه خوردن	
Artless	بی هنر	
Gratuity	پاداش	
Manifest	ظاهر	
Delve	حفر کردن	
Capricious	هوس باز	
Requisite	شرط لازم	
Replenish	دوباره پر کردن	
Roster	فهرست	
Stunt	شیرین کاری	
Atrophy	لاغری	
Maim	من	
Ameliorate	بهتر شدن	
Cynic	خیره چشم	
Unctuous	چرب و نرم	
Benevolent	خیراندیش	
Subservient	تابع	
Iniquity	شرارت	
Largess	بخشش	
Criterion	معیار	
Repent	توبه کردن	
mollify	نرم کردن	
Mercenary	سرباز مزدور	
Pariah	منفور	
Aloof	دور	
pragmatic	عملی	
Vestige	"ذره، رد پا"	
Guise	ماسک	
Nullify	بی اثر کردن	
deluge	سیل	
Futility	پوچی	
Carnage	قتل عام	
Technology	تکنولوژی	
Libel	تهمت	
Defamatory	افتر آمیز	
Plaintiff	شاکی	
Canard	اردک	
Deprecate	ناراضی بودن	
Reputed	مشهور	
Frail	نحیف	
Potent	قوی	
Excoriate	پوست کندن از	
Devout	مذهبی	
Diminutive	کوچک	
Profuse	فراوان	
Dulcet	شیرین	
Impromptu	بی مطالعه	
Malvolent	بدخواه	
Wistful	آرزومند	
raiment	جامه	
Brigand	"راهزن، یاغی"	
Corpulent	"فربه، گوشتالو"	
Rail	توبیخ	
Raconteur	داستان سرا	
sullen	"عبوس، کج خلق"	
Rift	بریدگی	
Emissary	فرستاده	
Ruminate	نشخوار کردن	
Taut	محکم بسته شده	
Livid	کبود	
Martinet	سخت گیردرانضباط خشک	
Yen	تمایل	
Bagatelle	چیز بیهوده	
Callow	جوجهای که هنوز پر درنیاورده	
Appalled	وحشت زده	
Penchant	میل شدید	
Depricate	منسوخ	
Termagant	داد و بیداد کن	
Ascertain	معلوم کردن	
Dormant	خوابیده	
Burgeon	هدف	
Potentate	سلطان	
Disseminate	انتشار	
Derive	مشتق	
Prerogative	امتیاز	
Nepotism	خویش و قوم پرستی	
Dearth	کمبود	
Internecine	خونین	
Tyro	مبتدی	
Sophistry	سفسطه	
Factitious	ساختگی	
Encomium	ستایش	
Obloquy	ناسزاگویی	
Hyperbole	مبالغه	
Munificent	بخشنده	
Prevarication	دروغ گویی	
Charisma	جذابیت	
Genocide	قتل عام	46week
