available	"قادر، توانا"	
by means of	با استفاده از	
block	مسدود کردن	
capacity	ظرفیت	
central	مرکزی	
chemist	شیمی دان	
come in	بیا تو	
constantly	بطور مداوم	
deny	رد کردن	
design	طراحی	
designer	طراح	
disabled	ناتوان کردن	
drug	دارو	
field	"رشته، زمین ، مزرعه"	
endeavour	تلاش	
entertainment	سرگرمی	
exactly	دقیقا	
furthermore	علاوه بر این	
giant	بزرگ	
go straight on	مستقیم برو	
handle	رسیدگی	
in addition to	بعلاوه	
influence	تاثیر	
inform	"اطلاع دادن، آگاه کردن"	
on your left	در سمت چپ شما	
orbit	مدار	
otherwise	در غیر این صورت	
perform	اجرا کردن	
process	"فراآیند، عمل"	
programmable	برنامه ریزی	
pilot	خلبان	
planet	سیاره	
project	پروژه	
properly	مناسب	
research	"پژوهش، کاوش"	
right _ hand side	سمت راست	
separate	جداگانه	
series	"رشته، دنباله"	
spacecraft	سفینه فضایی	
success	موفقعیت	
superhuman	مافوق انسانی	
switch	"گزینه، تعویض"	
task	وظیفه	
tower	برج	
turn	"نوبت، چرخش"	
wind power	قدرت باد	
Mars	مریخ	
human	انسان	درس 6
